judul,isi,tanggal,kategori
Satgas BLBI Butuh Rp10 M untuk Uber Tagihan Rp71 T ke Obligor,"Wakil Menteri Keuangan I Suahasil Nazara mengungkap butuh anggaran Rp10,25 miliar untuk melanjutkan program penanganan hak tagih negara yang sisanya sebesar Rp71 triliun oleh Satuan Tugas Penanganan Hak Tagih Negara Dana Bantuan Likuiditas Bank Indonesia (Satgas BLBI). ""Ini untuk rangkaian kasus BLBI hak tagih negara yang masih berproses dan untuk itu extra effort dan rencana aksi yang kami bayangkan dan dialokasikan Rp10,25 miliar,"" ujar Suahasil dalam Rapat Kerja dengan Komisi XI DPR RI, Senin (9/9). Anggaran tersebut bakal digunakan untuk pembentukan Komite Penanganan Hak Tagih Dana BLBI pengganti Satgas BLBI, hingga melanjutkan upaya pembatasan keperdataan atau layanan publik serta pencegahan bepergian ke luar negeri. Dana itu juga akan digunakan untuk meningkatkan penelusuran informasi terkait debitur dan obligor dengan nilai kewajiban besar dan terafiliasi antara lain dengan bantuan audit investigasi BPKP, serta pelatihan peningkatan kemampuan asset tracing bekerja sama dengan pemerintah Amerika Serikat (AS). Profil Marimutu Sinivasan, Buron BLBI yang Ditangkap Saat Mau Kabur Suahasil memaparkan target untuk penanganan hak tagih BLBI pada 2025 adalah senilai Rp2 triliun, yang terdiri dari penerimaan negara bukan pajak (PNBP) ke kas negara Rp500 miliar, penguasaan fisik Rp500 miliar, dan penyitaan Rp1 triliun. Kemudian terhitung dari satgas tersebut dibentuk pada 2021 hingga 5 September 2024, telah terkumpul Rp38,88 triliun dari obligor/debitur yang memiliki utang ke negara. ""Capaian Satgas BLBI sekarang telah mencapai dalam berbagai macam bentuk Rp38,88 triliun per 5 September lalu,"" ujar Suahasil lebih lanjut. Realisasi terkumpul dalam berbagai macam bentuk yakni PNBP ke kas negara Rp1,84 triliun, sita/penyerahan barang jaminan Rp18,13 triliun, penguasaan aset properti Rp9,21 triliun, penetapan status penggunaan (PSP) dan hibah Rp5,93 triliun dan PMN non tunai Rp3,77 triliun. ""Ini berbagai macam kegiatan telah dilakukan dari investarisasi dokumen aset, pemanggilan debitur, pengelolaan barang jaminan yang dioptimalkan dengan pemblokiran penyitaan dan lelang, penerapan PP 28/2022 sebagai payung hukum pembatasan keperdataan,"" jelasnya. Capaian tersebut terbilang masih jauh dari target yang harus dikumpulkan yakni Rp110,45 triliun. Berarti masih ada sisa tagihan sebesar Rp71 triliun. Sedangkan masa tugas Satgas BLBI hanya sampai 31 Desember 2024 berdasarkan Keputusan Presiden (Keppres) Nomor 30 Tahun 2023. [Gambas:Video CNN] (del/pta)","Selasa, 10 Sep 2024 11:00 WIB",Ekonomi
"Kota Semarang, Penyelenggara Transportasi Terbaik se-Indonesia 2024","Kota Semarang menyabet Penghargaan Wahana Tata Nugraha (WTN) dari Kementerian Perhubungan Republik Indonesia Kategori Kota Raya terbaik se-Indonesia, mengalahkan kota-kota besar seperti Surabaya, Depok, Pekanbaru, Palembang, dan Bandung. Bagi Wali Kota Semarang Hevearita Gunaryanti Rahayu atau Mbak ita, penghargaan ini merupakan motivasi sekaligus tantangan bagi pemerintah dan warga untuk meningkatkan kualitas transportasi. Penghargaan diserahkan langsung oleh Menteri Perhubungan Budi Karya Sumadi, dan diterima oleh Plh. Sekretaris Daerah Kota Semarang, Mukhamad Khadik mewakili Mbak Ita pada acara Hub Space 2024, Sabtu (7/9) di JIExpo Kemayoran, Jakarta Pusat. ""Alhamdulillah, Kota Semarang meraih Penghargaan Wahana Tata Nugraha atas penyelenggaraan transportasi perkotaan. Kota Semarang menjadi yang terbaik se-Indonesia untuk kategori kota raya,"" ujar Mbak Ita. Selain menyampaikan terima kasih dan apresiasi kepada pihak-pihak yang telah berpartisipasi memajukan bidang transportasi di Semarang, Mbak Ita juga menyatakan bahwa kritik dan masukan masyarakat merupakan bahan evaluasi untuk mengoptimalkan kinerja di bidang transportasi. ""Terima kasih untuk teman-teman di Satlantas Polrestabes, Dinas Perhubungan, BRT atau Trans Semarang, dan dinas-dinas lainnya, juga warga masyarakat pengguna setia BRT atas kritik dan masukannya selama ini,"" kata Mbak Ita. Saat ini, Pemerintah Kota (Pemkot) Semarang terus berupaya meningkatkan kualitas dan kuantitas layanan transportasi umum. Upaya itu membuat Semarang ditunjuk pemerintah pusat sebagai kota kedua di Indonesia yang akan memiliki moda transportasi publik Autonomous Rail Rapid Transit (ART) setelah IKN. Transportasi ART menyerupai seperti trem, dengan menggunakan roda karet dan digerakkan oleh tenaga listrik. Beberapa waktu lalu telah dilakukan kajian dengan PT KAI terkait implementasi ATR. ""Mudah-mudahan semua lancar sehingga masyarakat Kota Semarang memiliki akses transportasi umum yang lebih bervariasi. Tentunya ini untuk meningkatkan kesejahteraan masyarakat,"" ujar Mbak Ita. (rea/rir) [Gambas:Video CNN]","Selasa, 10 Sep 2024 10:55 WIB",Ekonomi
"Kanal Pengaduan Semarang ""Sapa Mbak Ita"" Dapat Predikat Sangat Baik","Wali Kota Semarang, Hevearita Gunaryanti Rahayu (Mbak Ita) menyampaikan apresiasi terhadap kinerja Organisasi Perangkat Daerah (OPD) dalam merespons aduan masyarakat melalu kanal Sapa Mbak Ita, sejalan dengan hasil penilaian kinerja pengelolaan pengaduan Pemerintah Kabupaten/Kota tahun 2023 dari Kementerian Dalam Negeri yang menyatakan bahwa Kota Semarang mendapatkan predikat kualitas pengelolaan pengaduan ""sangat baik"". Berdasarkan hasil rekapitulasi laju tindak lanjut penilaian tersebut, pengelola pengaduan Kota Semarang mampu menyelesaikan laporan yang masuk melalui kanal sapambakita.lapor.go.id dengan jumlah aduan terkelola tertinggi kedua setelah Kota Malang dengan laju tindak lanjut 100 persen. Secara khusus, Mbak Ita menyatakan apresiasi terhadap seluruh admin penghubung Kanal Pengaduan Publik Sapa Mbak Ita yang bekerja selama 24 jam dalam 7 hari guna menangani berbagai lingkup aduan kemasyarakatan, mulai dari perbaikan fasilitas umum, perbaikan infrastruktur, pelayanan administrasi kependudukan, hingga fasilitas pendidikan. ""Saya atas nama pribadi dan Pemerintah Kota Semarang mengucapkan matur nuwun kepada teman-teman yang sudah sangat gercep untuk menerima dan menyelesaikan keluhan, masukan atau bahkan kritikan dari masyarakat. Terima kasih kepada semua tim yang terlibat dalam penyelesaian aduan masyarakat melalui kanal ini,"" ujar Mbak Ita dalam Rapat Monitoring dan Evaluasi Pelayanan Pengaduan ""Sapa Mbak Ita"" Catur Wulan II di Balai Kota Semarang, Kamis (5/9). Senada, Kepala Dinas Kominfo Kota Semarang, Soenarto, turut memuji kinerja admin pengelola kanal aduan publik Sapa Mbak Ita yang berjumlah lima kanal. Soenarto berharap, proses penyelesaian pengaduan dapat terus disempurnakan. ""Pertama, tentang bagaimana laporan yang selesai bersyarat dapat diselesaikan secepatnya. Kedua, tuntaskan aduan masyarakat hingga benar-benar selesai agar tidak terjadi laporan berulang. Ketiga, selesaikan aduan dengan memperhatikan kualitas tindak lanjutnya,"" papar Soenarto. Dalam Kegiatan Monitoring dan Evaluasi Pengaduan Pelayanan Publik Sapa Mbak Ita Caturwulan II Tahun 2024, para admin penghubung Pengelola Pengaduan Publik didorong untuk meningkatkan kualitas pelayanan, khususnya dalam merespon aduan dan aspirasi masyarakat. ""Laporan yang masuk harus segera dikonfirmasi untuk ditindaklanjuti. Untuk menindaklanjuti laporan tidak perlu meminta permohonan data pelapor, cukup fokus pada aduan yang dilaporkan,"" kata Soenarto. Monitoring dan evaluasi disebut akan dilakukan secara rutin oleh Dinas Kominfo Kota Semarang, sehingga kendala yang ada dapat teridentifikasi, sekaligus sebagai sarana bersilaturahmi antar admin penghubung, admin utama dan pengelola pengaduan. Di sepanjang catur wulan II dari Mei hingga Agustus, terdapat 1.598 aduan yang masuk ke kanal Sapa Mbak Ita. Pada periode yang sama, Dinas Perhubungan Kota Semarang menjadi OPD dengan jumlah disposisi tertinggi, sejumlah 297 aduan, disusul oleh Dinas Pekerjaan Umum 251 aduan, Dinas Perumahan dan Kawasan Permukiman 222 aduan, Satpol PP 116 aduan dan Dinas Kominfo 85 aduan. Adapun aduan terbanyak yang masuk pada catur wulan II adalah terkait laporan jalan rusak, aduan parkir, lampu PJU padam, aduan trantibum, dan permintaan pemangkasan pohon. (rea/rir) [Gambas:Video CNN]","Selasa, 10 Sep 2024 10:31 WIB",Ekonomi
Investor China-Australia Akan Groundbreaking Proyek Rp650 M di IKN,"Sejumlah investor asing akan melangsungkan prosesi peletakan batu pertama atau groundbreaking proyek di Ibu Kota Nusantara (IKN), Kalimantan Timur. Nilai investasinya diperkirakan mencapai Rp 650 miliar. Plt Wakil Kepala Otorita IKN, Raja Juli Antoni mengatakan ada dua investor asing yang akan melangsungkan groundbreaking. Mereka berasal dari China dan Australia. Untuk lingkup sektornya, ia mengatakan ada yang bergerak di properti dan ada yang di pendidikan. Gaji Pekerja Akan Dipotong Lagi untuk Program Pensiun Baru ""Ada dua investor asing yang akan groundbreaking. Pertama yaitu Delonix, ini sebuah perusahaan dari China yang akan membangun mal, hotel, apartemen,"" kata Raja Juli, ditemui usai Rapat Kerja (Raker) bersama Komisi II DPR RI di Senayan, Jakarta Pusat, Senin (9/9) seperti dikutip dari detik.com. Raja Juli mengatakan Delonix akan membangun kawasan mix-used di IKN. Ia memproyeksikan total investasi yang dikucurkan mencapai Rp 500 miliar. ""Jadi asing ada dua yang mau groundbreaking itu, Delonix Rp 500 miliar. Yang satu lagi, Australian Independent School, itu sekitar Rp 150 miliar,"" ujarnya. Di sisi lain, belum dapat dipastikan berapa jumlah investor swasta yang akan groundbreaking di IKN pada bulan September ini. Diperkirakan jumlahnya mencapai 6-8 investor, termasuk dua investor asing tersebut. Sedangkan saat ditanya kepastian tanggal pelaksanaan groundbreaking, Raja Juli belum dapat memastikannya. Meski begitu, menurutnya groundbreaking akan dilakukan saat Jokowi telah mulai berkantor di IKN. ""Belum, sedang dicocokkan dengan (jadwal) Presiden. Ya kira-kira setelah Pak Presiden akan kesana Kamis pagi, insyaallah beliau berangkat,"" kata dia. Sebelumnya Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) sekaligus Plt Kepala Otorita IKN (OIKN) Basuki Hadimuljono membocorkan bahwa akan ada 7 investor yang groundbreaking proyeknya di IKN dalam waktu dekat ini. ""Ada 7 investor yang mau groundbreaking,"" kata Basuki, ditemui usai Rapat Kerja (Raker) bersama Komisi V DPR RI di Senayan, Jakarta beberapa waktu lalu. Basuki memaparkan, sektor-sektor dari ketujuh investor yang akan groundbreaking bulan depan meliputi pendidikan, hotel, properti, hingga pusat olah raga atau sport center. Namun demikian, ia belum dapat menaksir nilai investasi dari groundbreaking kali ini. Sedangkan untuk minat investasi sendiri lewat letter of intent (LOI), total ada 472. Dari jumlah tersebut, yang dikelompokan Basuki sebagai real investor dan berkemungkinan merealisasikan pembangunannya di IKN ada 220 LoI. ""Lainnya kontraktor, supplier, konsultan. 220 dievaluasi, ada 60 yang memang mau investasi. Dari 60 yang kemarin sudah 5 investasi. Bulan depan mudah-mudahan 7-8 lagi,"" ujarnya. Secara keseluruhan, IKN telah mengantongi investasi senilai Rp 56 triliun dari groundbreaking tahap 1-7 yang telah digelar. Sedangkan untuk dana APBN sendiri yang sudah diguyurkan ke IKN, lanjut Basuki, total ada sebanyak Rp 85 triliun. [Gambas:Video CNN] (agt/pta) [Gambas:Video CNN]","Selasa, 10 Sep 2024 10:30 WIB",Ekonomi
"Erick Thohir Tambah Jabatan di Bulog, Anak Buah Prabowo Jadi Wadirut","Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menambah posisi baru di Perum Bulog; wakil direktur utama. Jabatan ini sebelumnya tidak ada. Posisi baru ini diberikan kepada Marga Taufiq yang resmi diangkat pada Senin (9/9) melalui Keputusan Menteri BUMN Nomor SK-73/DHK.MBU.A/09/2024. Marga adalah anak buah Presiden terpilih Prabowo Subianto yang sebelumnya menjabat sebagai Staf Khusus Yayasan Pengembangan Potensi Sumber Daya Pertahanan (YPPSDP) Kementerian Pertahanan. Jauh sebelumnya, Marga juga pernah menjadi bawahan Prabowo saat sama-sama berada di Komando Strategi Angkatan Darat (Kostrad). Posisi itu ia tempati saat Prabowo menjadi Pangkostrad pada 1998. Copot Bayu Krisnamurthi, Erick Angkat Wahyu Suparyono Jadi Dirut Bulog Marga merupakan lulusan Akademi Militer cabang Infanteri pada 1987. Semasa perjalanan karir nya, ia juga tercatat pernah menjabat sebagai Wakil Komandan Pusat Teritorial Angkatan Darat dan Pangdam XVI/Pattimura Selain Marga, Erick juga mengangkat Wahyu Suparyono menjadi Direktur Utama Perum Bulog menggantikan posisi Bayu Krisnamurthi yang telah menyelesaikan pengabdiannya di perusahaan. Wahyu sebelumnya menjabat sebagai Direktur Utama Asabri. Ia juga pernah menduduki posisi Direktur Utama di PT Dok dan Perkapalan Kodja Bahari (Persero) pada 2017-2020, dan Direktur Utama di PT Perusahaan Perdagangan Indonesia pada 2014-2015. Selain itu, Erick juga Sudarsono Hardjosoekarto sebagai Direktur Human Capital menggantikan Purnomo Sinar Hadi. Sebelumnya ia merupakan Guru Besar Sosiologi dan Birokrat. Sudarsono juga pernah menjabat sebagai Direktur Jenderal Kesatuan Bangsa dan Politik Kementerian Dalam Negeri. [Gambas:Video CNN] (ldy/agt)","Selasa, 10 Sep 2024 09:57 WIB",Ekonomi
Profil Wahyu Suparyono yang Diangkat Erick Thohir Jadi Bos Baru Bulog,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir telah mengangkat Wahyu Suparyono menjadi Direktur Utama Perum Bulog menggantikan Bayu Krisnamurthi. Pengangkatan Wahyu dilakukan melalui Keputusan Menteri BUMN Nomor SK-73/DHK.MBU.A/09/2024. ""Wahyu Suparyono menjadi Direktur Utama Perum Bulog setelah sebelumnya menjabat sebagai Direktur Utama ASABRI,"" kata Erick dalam keterangan resmi pada Senin (10/9). Copot Bayu Krisnamurthi, Erick Angkat Wahyu Suparyono Jadi Dirut Bulog Lalu siapa sebenarnya Wahyu Suparyono? Mengutip berbagai sumber, ia merupakan alumnus Sekolah Tinggi Akuntansi Negara (STAN). Ia menempuh pendidikan terakhir sebagai Doktor Ilmu Manajemen di Universitas Brawijaya pada 2014. Ia juga Di dunia kerja, Wahyu bukanlah orang baru di lingkungan BUMN. Sebelum ditunjuk sebagai Direktur Utama Asabri pada 2020. Ia sudah malang melintang menduduki jabatan strategis di perseroan. Pada 2017-2020, ia menjabat sebagai Direktur Utama PT Dok dan Perkapalan Kodja Bahari (Persero). Jabatan terakhir sebelum diangkat menjadi direktur utama Asabri. Lalu, pada 2016-2017, ia juga pernah menjabat sebagai Direktur SDM dan Umum Perum Bulog. Di mana, sebelumnya, pada 2015-2018 ia ditetapkan Komisaris Utama PT Jasa Prima Logistik (JPL) Bulog. Pria kelahiran 17 Oktober di Magelang ini juga pernah menjadi Direktur Operasional dan Pelayanan Publik Perum Bulog pada 2015-2016, dan tercatat juga sebagai Direktur Utama PT Perusahaan Perdagangan Indonesia pada 2014-2015. [Gambas:Video CNN] (ldy/agt)","Selasa, 10 Sep 2024 09:35 WIB",Ekonomi
Rupiah Terkulai ke Rp15.475 Usai Mendengar Kabar 'Buruk' dari AS,"Nilai tukar rupiah berada di level Rp15.475 per dolar AS pada Selasa (10/9) pagi. Mata uang Garuda melemah 19 poin atau 0,12 persen dari perdagangan sebelumnya. Mata uang di kawasan Asia kompak berada di zona merah. Yen Jepang melemah 0,18 persen, baht Thailand melemah 0,11 persen, yuan China melemah 0,16 persen, peso Filipina melemah 0,16 persen, dan won Korea Selatan melemah 0,32 persen. Dolar Singapura juga melemah 0,08 persen dan dolar Hong Kong melemah 0,01 persen pada penutupan perdagangan sore ini. Senada, mata uang utama negara maju kompak berada di zona merah. Tercatat euro Eropa melemah 0,02 persen, poundsterling Inggris melemah 0,07 persen, dan franc Swiss melemah 0,05 persen. ANALISIS Segudang 'Bencana' Mengintai Jika Subsidi KRL Diubah Berbasis NIK Sedangkan, dolar Australia melemah 0,14 persen, dan dolar Kanada juga melemah 0,07 persen. Analis Pasar Lukman Leong memperkirakan rupiah melemah imbas data ekonomi AS yang positif. Data positif itu memperkuat keyakinan investor bahwa pemangkasan suku bunga the Fed akan lebih rendah dari perkiraan pasar. ""Investor juga masih berhati-hati mengantisipasi data inflasi AS yang merupakan data penting terakhir sebelum keputusan FOMC besok,"" ujar Lukman kepada CNNIndonesia.com. Hari ini, Lukman memperkirakan rupiah bergerak di rentang Rp15.400 per dolar AS - Rp15.500 per dolar AS. [Gambas:Video CNN] (ldy/agt)","Selasa, 10 Sep 2024 09:16 WIB",Ekonomi
Ancaman Badai di Teluk AS Angkat Harga Minyak,"Harga minyak naik sekitar 1 persen pada Senin (9/9) di tengah kekhawatiran pasar bahwa badai yang diperkirakan akan melanda Louisiana pada Rabu (11/9) besok akan mengganggu produksi dan penyulingan di sepanjang Pantai Teluk AS. Mengutip Reuters, harga minyak Brent berjangka naik 78 sen, atau 1,1 persen menjadi US$71,84 per barel. Sementara minyak mentah AS West Texas Intermediate (WTI) naik US$1,04 atau 1,5 persen menjadi US$68,71. Kenaikan harga minyak itu terjadi setelah pada Jumat (6/9) lalu harga Brent dan solar berjangka AS ditutup pada harga terendah sejak Desember 2021 dan WTI anjlok ke harga terendah sejak Juni 2023 dan bensin berjangka AS ditutup pada level terendah sejak Februari 2021. ""Sekarang ini kenaikan tipis harga minyak memang sedang berlangsung akibat terdorong prediksi bahwa badai akan melanda Pantai Teluk AS,"" kata John Evans, analis di PVM. ANALISIS Segudang 'Bencana' Mengintai Jika Subsidi KRL Diubah Berbasis NIK Meski demikian, harga ke depan masih dibayang-bayangi kekhawatiran pasar soal kondisi ekonomi AS dan China. Hal itu membuat pasar khawatir soal permintaan minyak sehingga berpotensi menjungkalkan harganya juga. Selain itu, pasar juga masih menanti kebijakan produksi minyak yang akan dijalankan oleh OPEC+ dalam beberapa waktu ke depan. [Gambas:Video CNN] (agt)","Selasa, 10 Sep 2024 09:00 WIB",Ekonomi
Subsidi KRL Berbasis NIK Bakal Bikin Kelas Menengah Makin Menderita,"Institute for Development of Economics and Finance (INDEF) menilai rencana pemerintah mengubah skema pemberian subsidi untuk KRL Jabodetabek menjadi berbasis Nomor Induk Kependudukan (NIK) mulai tahun depan akan semakin membebani kelas menengah. Direktur Pengembangan Big Data INDEF Eko Listiyanto mengatakan meski belum diumumkan secara resmi, tarif KRL pasti naik jika subsidi berbasis NIK diterapkan. Akibatnya, daya beli kelas menengah akan semakin tertekan. ""Impikasinya ya akan semakin menurunkan kelas menengah lagi dalam situasi ekonomi yang kita sedang perlambatan. Menurut saya wacananya (subsidi KRL berbasis NIK) tidak tepat dilempar pada saat kelas menengah sedang menderita seperti sekarang,"" katanya dalam Diskusi Publik INDEF ""Kelas Menengah Turun Kelas"", Senin (9/9). Eko mengatakan kelas menengah dibuat bingung dengan kebijakan pemerintah yang tidak terorganisir. Pasalnya saat rencana skema pemberian subsidi untuk KRL Jabodetabek diubah menjadi berbasis NIK mengemuka, pemerintah juga memberikan sinyal rencana pembatasan BBM subsidi. Profil Marimutu Sinivasan, Buron BLBI yang Ditangkap Saat Mau Kabur Padahal, sambung Eko, jika BBM subsidi dibatasi maka masyarakat diharapkan beralih ke transportasi umum. Namun, subsidi KRL justru juga ingin dibatasi dengan berbasis NIK dengan alasan agar subsidi tepat sasaran. ""Di BBM ada isu tidak tepat sasaran, di KRL ada isu tidak tepat sasaran. Terus mau pindah kemana masyarakat? Kan harapannya kalau Anda tidak kuat dengan pembatasan BBM, silahkan pindah ke transportasi publik, lah transportasi publiknya juga diseleksi,"" imbuhnya. Tak hanya soal subsidi, Eko mengatakan kelas menengah juga berpotensi semakin tertekan dengan kenaikan pajak pertambahan nilai (PPN) menjadi 12 persen mulai tahun depan. Ia mengatakan sebelum PPN naik jadi 12 persen saja, konsumsi kelas menengah sudah tertekan. Akibatnya pertumbuhan ekonomi dikhawatirkan akan tertekan. ""Kalau pelaksanaannya (PPN naik jadi 12 persen) dilakukan pakai kacamata kuda tanpa melihat realitas ekonomi yang sedang turun ini, ya kita mungkin akan mulai berbicara pertumbuhan ekonomi di bawah 5 persen tahun depan,"" katanya. Badan Pusat Statistik (BPS) mencatat jumlah penduduk kelas menengah di Indonesia mencapai 47,85 juta orang pada 2024, turun dibandingkan 2023 yang mencapai 48,27 juta orang.. Plt Kepala BPS Amalia Adininggar mengatakan penyebab utama turunnya kelas menengah tahun ini adalah pandemi Covid-19. Tercermin dari data yang dimiliki, penurunan jumlah penduduk kelas menengah berkurang sejak 2019. Menurutnya, efek pandemi pada 2020 lalu masih terasa sampai saat ini, terutama kepada perekonomian. Masyarakat kelas menengah pun turut merasakan dampaknya. ""Kan tadi sudah dilihat dari 2014 ke 2019 kan naik (kelas menengah) dari 41 persen jadi 53 persen. Setelah pandemi, dia turun bertahap, itu yang saya tadi bilang, ada long covid buat perekonomian,"" ujarnya dalam konferensi pers, Jumat (30/8). [Gambas:Video CNN] (fby/pta)","Selasa, 10 Sep 2024 08:40 WIB",Ekonomi
Ekonom Sebut Deflasi 4 Bulan Beruntun Bukti Daya Beli Rakyat RI Turun,"Institute for Development of Economics and Finance (INDEF) mengatakan deflasi yang dialami Indonesia selama empat bulan berturut-turut mengindikasikan daya beli masyarakat yang melemah. Badan Pusat Statistik (BPS) mencatat terjadi deflasi pada Mei hingga Agustus secara bulanan (mtm) pada tahun ini. ""Deflasi empat bulan berturut-turut sudah pasti daya beli melemah.Gambaran empat bulan deflasi ini saya lebih meyakini bahwa sudah mulai bermasalah daya beli kita,"" katanya Direktur Pengembangan Big Data INDEF Eko Listiyanto dalam Diskusi Publik INDEF ""Kelas Menengah Turun Kelas"", Senin (9/9). Eko mengatakan lemahnya daya beli sudah terlihat dari konsumsi rumah tangga yang hanya tumbuh 4,9 persen secara kuartalan (quarter to quarter/qtq) pada kuartal I dan II 2024. Jumlah tersebut turun dari pertumbuhan konsumsi sebelum covid-19 yang minimal 5 persen. Basuki Terisak saat Pamitan ke DPR: Saya Mules Setiap Berangkat Rapat Padahal pada kuartal I dan II tahun ini, terjadi momen Lebaran dan Pemilu, yang harusnya mendongkrak konsumsi. Ia mengatakan tren pelemahan ini harus menjadi alarm bagi pemerintah karena pertumbuhan ekonomi ditopang oleh konsumsi rumah tangga. ""Kenapa demikian, karena 50 persen lebih bahkan hampir 60 persen, bicara pertumbuhan ekonomi sebenarnya bicara konsumsi. Kalau kita lihat konsumsi ini sudah cukup berbahaya,"" katanya. Menteri Keuangan Sri Mulyani sebelumnya menampik bahwa deflasi empat bulan berturut-turut mengindikasikan daya beli melemah. Ia menilai dalam pengukuran inflasi inti atau core inflation, tidak terlihat adanya daya beli yang turun terkait deflasi ini. ""Kalau lihat dari inflasi inti masih positif. Mungkin bukan dari situ (daya beli yang turun),"" katanya di Gedung DPD RI, Senayan, Jakarta, Senin (2/9) dikutip Detikfinance. Menurutnya, deflasi yang terjadi disebabkan oleh adanya penurunan harga pangan, yang memang menjadi perhatian pemerintah. Sejauh ini, pemerintah melakukan banyak upaya agar harga pangan bisa turun sehingga tidak memicu inflasi. ""Kalau deflasi berasal dari harga pangan, itu kan memang diupayakan oleh pemerintah untuk menurunkan, terutama kan waktu itu inflasi dari unsur harga pangan kan cukup tinggi terutama dari beras, kemudian El Nino,"" ujarnya. Sri Mulyani menjelaskan jika penurunan harga-harga alias deflasi karena harga pangan turun berarti itu tren yang positif. Meski begitu, pemerintah tetap akan waspada pada pergerakan inflasi ke depan. ""Tetapi kita akan tetap waspada ya. Kalau kita lihat inflasi inti masih cukup bagus dan masih tumbuh ya itu oke,"" pungkasnya. [Gambas:Video CNN] (fby/pta)","Selasa, 10 Sep 2024 08:00 WIB",Ekonomi
Ponakan Prabowo Sebut Sistem Canggih Pajak CTAS Butuh Dana Rp549 M,"Wakil Menteri Keuangan II Thomas Djiwandono mengungkap untuk menerapkan sistem pajak baru coretax administration system (CTAS) butuh anggaran Rp549,39 miliar. Adapun sistem perpajakan canggih itu akan dimulai pada Desember 2024. Keponakan Presiden Terpilih Prabowo Subianto itu menyebut alokasi anggaran tersebut diperlukan seiring dengan meningkatnya target penerimaan pajak tahun anggaran 2025 yakni sebesar Rp2.189,3 triliun. Target tersebut meningkat cukup besar yakni 17,26 persen dari realisasi pada 2023 yang sebesar Rp1.867 triliun. ""Kami telah menyusun strategi dan rencana aksi untuk mencapai target tersebut, yang pertama adalah penguatan implementasi coretax system,"" ujar Tommy, sapaan akrabnya dalam Rapat Kerja bersama Komisi XI DPR RI, Senin (9/9). Gaji Pekerja Akan Dipotong Lagi untuk Program Pensiun Baru ""Seiring dengan deployment sistem tersebut, diperlukan penguatan SDM melalui pengangkatan dan pelatihan jafung (jabatan fungsional), penguatan IT support dan maintanance, perbaikan proses bisnis, dan penguatan regulasi, dengan alokasi sebesar Rp549,39 miliar,"" imbuhnya. Lebih lanjut, Tommy menjelaskan hingga saat ini ini kegiatan yang telah dilakukan untuk mencapai target penerimaan pajak dilakukan melalui edukasi, kehumasan, pelayanan, pengawasan pembayaran wajib pajak dan pengawasan pembayaran masa. ""Adapun juga penguatan di bidang IT dan data, regulasi organisasi dan SDM, pengawasan dan pengendalian internal, serta kolaborasi di bidang penerimaan negara yang efektif berupa joint program antara DJP (Direkrotrat Jenderal Pajak) dan DJBC (Direktorat Jenderal Bea dan Cukai),"" jelasnya. Ia memaparkan setidaknya ada enam strategi dan rencana aksi untuk mengejar target pajak 2024. Pertama, penguatan implementasi CTAS. Kedua, kolaborasi di bidang penerimaan negara yang efektif melalui optimalisasi kegiatan joint audit, joint analysis, joint investigation, joint collection, dan joint intelligence hingga peningkatan kerja sama perpajakan internasional. Ketiga, penguatan organisasi dan SDM dengan fungsionalisasi pegawai dan peningkatan kompetensi SDM, hingga penataan wajib pajak di kantor pelayanan pajak di lingkungan Kanwil DJP Wajib Pajak Besar dan Jakarta Khusus, serta program secondment. Keempat, perbaikan proses bisnis yang dilakukan dengan prioritas pengawasan atas wajib pajak strategis dan penguatan aktivitas pengawasan pajak dan law enforcement. Kelima, penguatan IT dan data. Keenam, penguatan regulasi di bidang ekonomi, penerimaan dan kemudahan investasi. [Gambas:Video CNN] (del/pta)","Selasa, 10 Sep 2024 07:25 WIB",Ekonomi
